gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRUNE2	45.0864382208157	2.13314332501451	0.328897967887262	6.48572971951503	8.83033425009307e-11	7.77825450322051e-10
OGDHL	61.2947157534229	1.7190536689604	0.26530191483135	6.47961274630523	9.19583300524738e-11	8.08853457373176e-10
LOC105374715	37.2404679556368	2.60498968017951	0.403677267631758	6.4531493077679	1.09549330124873e-10	9.60352744172714e-10
LGALS2	51.0434536483989	-1.8933810819987	0.293925519415617	-6.44170361853277	1.18139814257982e-10	1.03318740138798e-09
LOC105378114	54.5131754469508	-1.87648227073226	0.291356720504175	-6.4404976397494	1.19082407707457e-10	1.03994093101891e-09
TRNW	140.880786873606	-1.12278026192089	0.175377134635773	-6.40209035375508	1.53263916436219e-10	1.32894038906083e-09
LOC400212	44.2078904282554	2.02914212352829	0.317444549684855	6.3921151758401	1.63606584879494e-10	1.41593921970613e-09
LINC01559	39.2295044556538	-2.39863999736939	0.375355619764988	-6.39031326844445	1.65546251331973e-10	1.43137322976507e-09
COL26A1	88.1946265184239	1.43550225776017	0.224674681569838	6.38924799060617	1.66703521313318e-10	1.4406991910386e-09
COL4A2-AS1	152.166898258296	1.07003049173403	0.167595484307488	6.38460216368863	1.71843627198834e-10	1.48442091740201e-09
AQP1	86.6326712563507	1.41344253658857	0.221548341923671	6.37983802684265	1.77275379359644e-10	1.5298982197046e-09
PROX1	30.8393181816468	2.57420507856816	0.404917536437059	6.35735636746942	2.05255439558217e-10	1.76223294169227e-09
SH2D2A	144.092505764012	1.24752990659259	0.196408451655348	6.35171193539942	2.12931789791605e-10	1.82642616695722e-09
CHST6	90.7068123929043	1.46417600522777	0.23061159190151	6.34909977054882	2.16578544820271e-10	1.85509957497363e-09
EDIL3-DT	22.3131594046287	3.99793836592403	0.630116881819032	6.34475679239495	2.22777100902868e-10	1.90462980804586e-09
DNER	158.796540573024	1.07660800718092	0.170009589941761	6.3326310448118	2.41015428507773e-10	2.05863598053304e-09
DENND2D	99.7143675347692	-1.30121439287961	0.205777945643192	-6.3233909193352	2.55884857331441e-10	2.18055811647775e-09
